0.5	0
1.5	0
2.5	0
3.5	0
4.5	0
5.5	0
6.5	0
7.5	0
8.5	0
9.5	0
10.5	0
11.5	0
12.5	0
13.5	0
14.5	0
15.5	0
16.5	0
17.5	0
18.5	0
19.5	0
20.5	0
21.5	0
22.5	0
23.5	0
24.5	0
25.5	0
26.5	0
27.5	0
28.5	0
29.5	0
30.5	0
31.5	1
32.5	1
33.5	3
34.5	3
35.5	3
36.5	4
37.5	1
38.5	7
39.5	9
40.5	12
41.5	15
42.5	13
43.5	23
44.5	34
45.5	31
46.5	39
47.5	66
48.5	58
49.5	82
50.5	75
51.5	72
52.5	110
53.5	114
54.5	138
55.5	168
56.5	185
57.5	167
58.5	189
59.5	205
60.5	235
61.5	262
62.5	286
63.5	302
64.5	322
65.5	340
66.5	360
67.5	371
68.5	354
69.5	391
70.5	435
71.5	429
72.5	421
73.5	462
74.5	464
75.5	506
76.5	463
77.5	509
78.5	549
79.5	523
80.5	577
81.5	550
82.5	577
83.5	611
84.5	596
85.5	626
86.5	656
87.5	650
88.5	694
89.5	677
90.5	742
91.5	779
92.5	790
93.5	765
94.5	799
95.5	856
96.5	831
97.5	888
98.5	910
99.5	979
100.5	954
101.5	1008
102.5	992
103.5	1092
104.5	1004
105.5	1081
106.5	1126
107.5	1131
108.5	1170
109.5	1217
110.5	1254
111.5	1251
112.5	1246
113.5	1231
114.5	1279
115.5	1372
116.5	1404
117.5	1420
118.5	1389
119.5	1447
120.5	1507
121.5	1479
122.5	1462
123.5	1518
124.5	1578
125.5	1546
126.5	1532
127.5	1584
128.5	1604
129.5	1624
130.5	1635
131.5	1661
132.5	1614
133.5	1635
134.5	1717
135.5	1676
136.5	1599
137.5	1628
138.5	1680
139.5	1691
140.5	1654
141.5	1704
142.5	1684
143.5	1604
144.5	1633
145.5	1679
146.5	1715
147.5	1682
148.5	1676
149.5	1725
150.5	1741
151.5	1668
152.5	1743
153.5	1706
154.5	1744
155.5	1678
156.5	1650
157.5	1628
158.5	1647
159.5	1667
160.5	1739
161.5	1644
162.5	1653
163.5	1624
164.5	1652
165.5	1647
166.5	1672
167.5	1612
168.5	1552
169.5	1614
170.5	1595
171.5	1586
172.5	1597
173.5	1583
174.5	1602
175.5	1608
176.5	1554
177.5	1595
178.5	1542
179.5	1550
180.5	1517
181.5	1559
182.5	1465
183.5	1559
184.5	1532
185.5	1516
186.5	1490
187.5	1528
188.5	1542
189.5	1474
190.5	1474
191.5	1553
192.5	1403
193.5	1491
194.5	1464
195.5	1457
196.5	1421
197.5	1475
198.5	1355
199.5	1366
200.5	1512
201.5	1395
202.5	1409
203.5	1358
204.5	1392
205.5	1401
206.5	1342
207.5	1377
208.5	1346
209.5	1369
210.5	1294
211.5	1319
212.5	1320
213.5	1304
214.5	1228
215.5	1306
216.5	1277
217.5	1262
218.5	1319
219.5	1228
220.5	1220
221.5	1211
222.5	1247
223.5	1207
224.5	1296
225.5	1197
226.5	1209
227.5	1140
228.5	1182
229.5	1136
230.5	1183
231.5	1195
232.5	1134
233.5	1175
234.5	1193
235.5	1121
236.5	1122
237.5	1106
238.5	1076
239.5	1081
240.5	1102
241.5	1036
242.5	1056
243.5	1041
244.5	1040
245.5	1017
246.5	986
247.5	1039
248.5	997
249.5	970
250.5	994
251.5	981
252.5	968
253.5	989
254.5	913
255.5	906
256.5	955
257.5	931
